TimeIndex,Mean,SEM,SmoothedMean,SmoothedSEM
352,34300.9113806602,5452.7532051323,34411.7179669166,4581.77839763281
353,34410.4265634207,5578.53403787821,34397.9750663991,4579.53331859612
354,34183.0141201197,5343.20343157249,34383.8254515526,4577.28008756746
355,34228.214051589,5320.40387073481,34369.6468579919,4575.75989275775
356,34078.9809607284,5089.07571475339,34354.7022830967,4573.90784960904
357,34359.4610186721,5057.73932168108,34340.0338115264,4571.19335915763
358,34689.6885607617,4385.95882162141,34326.8377324917,4568.05628310194
359,34589.2907464784,4392.17178366364,34313.5352671565,4566.41533663056
360,34813.254415929,4537.68876613809,34299.9447430924,4564.58281194168
361,34759.476608337,4553.16631380742,34287.1316388492,4561.72236791139
362,34657.6621339301,4647.64620813625,34275.7808753109,4558.74681198504
363,34768.334186192,4784.82550148548,34264.7225513236,4554.66780278949
364,34977.4716754135,4792.34352815124,34253.3096062502,4550.71111537641
365,34864.7469258315,4819.862527839,34242.2640025991,4547.06299851266
366,34914.0041526306,4787.67928144773,34231.869813474,4543.18039737606
367,34901.2885503105,4774.89210274339,34221.4223775362,4539.37327555407
368,35187.9875698917,4589.47265816514,34206.5233850802,4539.7420677663
369,35311.2710353699,4685.91246324451,34192.6144790577,4539.54958739082
370,34932.6357188014,4814.32236466732,34178.3350308114,4539.68055788988
371,35099.795536064,4785.05643955085,34165.6947958545,4538.54779136936
372,35091.2431980781,4845.78079752584,34153.4463916356,4536.45890656511
373,35102.2915512266,4722.50129925402,34141.6631910313,4534.13399476655
374,34952.1104788563,4717.40531052367,34129.9049885935,4531.99850733996
375,34907.1554185112,4578.89045435867,34119.2922652339,4529.63613438714
376,34849.0681264122,4507.07205963478,34107.9723235814,4527.33603451669
377,35087.0344519631,4392.27781277253,34097.2812409642,4524.99166165227
378,34786.9075390163,4328.06145390369,34085.5582510954,4522.55348955095
379,34783.3527966784,4130.86957331443,34073.3702253319,4521.07714340192
380,34820.8337264982,4079.58437065969,34059.2394700065,4520.82192913167
381,34805.8585075102,4205.00514439406,34044.604691504,4520.85331623671
382,34710.4284466047,4429.72830909874,34030.086574848,4521.25932922791
383,35175.9081508527,4512.14422732219,34017.0972913228,4521.31029665292
384,35238.9881505619,4604.98371819719,34005.0204421526,4520.71308748112
385,35331.2216038062,4545.98943653376,33993.8627325909,4519.86167863219
386,35520.2917953885,4541.78504705566,33983.4047805069,4518.97862459378
387,35407.9086677127,4501.65761942044,33972.8476571371,4519.47066460851
388,35370.2927750444,4420.87457925818,33964.2200585738,4518.86071721638
389,35306.0022876763,4409.35934501954,33955.6331177216,4518.17213575179
390,35148.7126548998,4462.96960492005,33946.3182221837,4516.49582323764
391,35061.3581400576,4620.98601460959,33936.3785345549,4514.86350143052
392,34789.8470789431,4697.3852425065,33925.2113958803,4512.85925357174
393,34774.5420904764,4748.00832625274,33914.0755587812,4510.53702294873
394,34881.9546782258,4800.48855926906,33903.0780071228,4507.71118486537
395,34703.2423330258,4860.25421034022,33891.3058209699,4504.83475607766
396,34611.3165755472,4850.01551608125,33880.4613128949,4502.85921046963
397,34469.6293179167,4852.4491913385,33869.9905058631,4500.91237019895
398,34620.7049876469,4745.74023768509,33860.421018794,4498.50879539316
399,34451.7763509494,4801.24153971394,33850.7564103735,4496.46582638811
400,34239.2929609661,4779.5137747134,33841.5407909431,4494.17316871749
401,34149.3768845233,4668.89410525376,33833.1539202496,4493.98621803578
402,33974.5006983623,4407.61616933305,33825.1061479692,4493.45787067277
