"block","animal_ID","lid_TP1","block_label"
"6","6",1.006,"TEST_141_160"
"6","6",0.995,"TEST_141_160"
"6","6",1.018,"TEST_141_160"
"6","6",1.008,"TEST_141_160"
"6","6",0.986,"TEST_141_160"
"6","6",1.011,"TEST_141_160"
"6","6",1.024,"TEST_141_160"
"6","6",1.009,"TEST_141_160"
"6","6",0.997,"TEST_141_160"
"6","6",1.014,"TEST_141_160"
"6","6",1.002,"TEST_141_160"
"6","6",0.991,"TEST_141_160"
"6","6",0.993,"TEST_141_160"
"6","6",0.992,"TEST_141_160"
"6","6",1.025,"TEST_141_160"
"6","6",1.005,"TEST_141_160"
"1","7",1.022,"PRE"
"1","7",0.994,"PRE"
"1","7",1.04,"PRE"
"1","7",1.004,"PRE"
"1","7",0.996,"PRE"
"1","7",0.999,"PRE"
"1","7",1.014,"PRE"
"1","7",1.007,"PRE"
"1","7",0.999,"PRE"
"1","7",1.016,"PRE"
"1","7",1.001,"PRE"
"1","7",1.001,"PRE"
"1","7",0.983,"PRE"
"1","7",1.021,"PRE"
"1","7",1.019,"PRE"
"1","7",0.979,"PRE"
"1","7",1.004,"PRE"
"1","7",1.025,"PRE"
"1","7",1.014,"PRE"
"1","7",1.015,"PRE"
"1","7",1.022,"PRE"
"1","7",1.004,"PRE"
"1","7",1,"PRE"
"1","7",1.007,"PRE"
"1","7",0.997,"PRE"
"1","7",0.996,"PRE"
"1","7",0.972,"PRE"
"1","7",1.001,"PRE"
"3","7",0.859,"TEST_81_100"
"3","7",1,"TEST_81_100"
"3","7",1.033,"TEST_81_100"
"3","7",0.957,"TEST_81_100"
"3","7",0.998,"TEST_81_100"
"3","7",0.997,"TEST_81_100"
"3","7",0.93,"TEST_81_100"
"3","7",0.984,"TEST_81_100"
"3","7",0.911,"TEST_81_100"
"3","7",0.891,"TEST_81_100"
"3","7",1.069,"TEST_81_100"
"3","7",0.984,"TEST_81_100"
"3","7",0.914,"TEST_81_100"
"3","7",0.981,"TEST_81_100"
"3","7",0.915,"TEST_81_100"
"3","7",0.973,"TEST_81_100"
"3","7",1.009,"TEST_81_100"
"3","7",0.912,"TEST_81_100"
"3","7",0.89,"TEST_81_100"
"3","7",1.005,"TEST_81_100"
"4","7",1.021,"TEST_101_120"
"4","7",0.994,"TEST_101_120"
"4","7",1.008,"TEST_101_120"
"4","7",0.956,"TEST_101_120"
"4","7",0.993,"TEST_101_120"
"4","7",0.964,"TEST_101_120"
"4","7",0.987,"TEST_101_120"
"4","7",0.979,"TEST_101_120"
"4","7",1.014,"TEST_101_120"
